ISO Code	Language Name	Population Size	Vitality	Digital Support
muh	Mündü	10K to 1M	Stable	Ascending
mui	Musi	1M to 1B	Institutional	Ascending
muj	Mabire	None	Extinct	Emerging
muk	Mugom-Karmarong	Less than 10K	Stable	Emerging
mum	Maiwala	Less than 10K	Stable	Still
muo	Mubako	10K to 1M	Stable	Emerging
mup	Malvi	1M to 1B	Stable	Emerging
muq	Miao, Eastern Xiangxi	10K to 1M	Stable	Still
mur	Murle	10K to 1M	Stable	Ascending
mus	Muskogee	Less than 10K	Endangered	Ascending
mut	Muria, Western	10K to 1M	Stable	Emerging
muu	Yaaku	None	Endangered	Still
muv	Muthuvan	10K to 1M	Stable	Emerging
mux	Bo-Ung	10K to 1M	Stable	Emerging
muy	Muyang	10K to 1M	Stable	Ascending
muz	Mursi	Less than 10K	Stable	Emerging
mva	Manam	Less than 10K	Endangered	Emerging
mvb	Mattole	None	Endangered	Emerging
mvd	Mamboru	10K to 1M	Stable	Still
mve	Marwari	10K to 1M	Stable	Ascending
mvf	Mongolian, Peripheral	1M to 1B	Stable	Emerging
mvg	Mixtec, Yucuañe	Less than 10K	Endangered	Emerging
mvh	Mulgi	Less than 10K	Stable	Emerging
mvi	Miyako	None	Endangered	Emerging
mvk	Mekmek	Less than 10K	Stable	Still
mvl	Mbara	None	Extinct	Still
mvn	Minaveha	Less than 10K	Institutional	Emerging
mvo	Marovo	10K to 1M	Stable	Emerging
mvp	Duri	10K to 1M	Endangered	Ascending
mvq	Moere	None	Endangered	Still
mvr	Marau	Less than 10K	Endangered	Still
mvs	Massep	None	Endangered	Still
mvt	Mpotovoro	Less than 10K	Endangered	Still
mvu	Marfa	Less than 10K	Stable	Emerging
mvv	Tahol Murut	10K to 1M	Endangered	Emerging
mvw	Machinga	10K to 1M	Stable	Emerging
mvx	Meoswar	Less than 10K	Endangered	Still
mvy	Kohistani, Indus	10K to 1M	Stable	Ascending
mvz	Mesqan	10K to 1M	Stable	Emerging
mwa	Mwatebu	Less than 10K	Endangered	Still
mwb	Juwar	Less than 10K	Endangered	Still
mwc	Are	Less than 10K	Stable	Emerging
mwe	Mwera	10K to 1M	Stable	Emerging
mwf	Murrinh-Patha	Less than 10K	Stable	Emerging
mwg	Aiklep	Less than 10K	Stable	Still
mwh	Mouk-Aria	Less than 10K	Stable	Emerging
mwi	Ninde	Less than 10K	Endangered	Emerging
mwk	Maninkakan, Kita	10K to 1M	Stable	Emerging
mwl	Mirandese	10K to 1M	Institutional	Ascending
mwm	Sar	10K to 1M	Institutional	Ascending
mwn	Nyamwanga	10K to 1M	Stable	Emerging
mwo	Maewo, Central	Less than 10K	Endangered	Still
mwp	Kala Lagaw Ya	Less than 10K	Stable	Ascending
mwq	Müün Chin	10K to 1M	Stable	Emerging
mws	Mwimbi-Muthambi	10K to 1M	Stable	Emerging
mwt	Moken	Less than 10K	Endangered	Still
mwu	Mittu	None	Extinct	Still
mwv	Mentawai	10K to 1M	Stable	Ascending
mww	Hmong Daw	1M to 1B	Stable	Ascending
mwz	Moingi	Less than 10K	Endangered	Emerging
mxa	Mixtec, Northwest Oaxaca	Less than 10K	Stable	Still
mxb	Tezoatlán Mixtec	Less than 10K	Stable	Emerging
mxc	Manyika	10K to 1M	Stable	Still
mxd	Modang	10K to 1M	Endangered	Emerging
mxe	Mele-Fila	Less than 10K	Stable	Emerging
mxf	Malgbe	Less than 10K	Endangered	Emerging
mxg	Mbangala	10K to 1M	Stable	Emerging
mxh	Mvuba	Less than 10K	Endangered	Emerging
mxj	Miju-Mishmi	Less than 10K	Stable	Emerging
mxk	Monumbo	Less than 10K	Endangered	Still
mxl	Gbe, Maxi	10K to 1M	Stable	Emerging
mxm	Meramera	Less than 10K	Stable	Emerging
mxn	Moi Kelim	Less than 10K	Endangered	Still
mxo	Mbowe	Less than 10K	Endangered	Still
mxp	Tlahuitoltepec Mixe	10K to 1M	Stable	Ascending
mxq	Juquila Mixe	Less than 10K	Stable	Emerging
mxr	Murik	Less than 10K	Endangered	Still
mxs	Mixtec, Huitepec	Less than 10K	Stable	Emerging
mxt	Jamiltepec Mixtec	10K to 1M	Stable	Ascending
mxu	Mada	10K to 1M	Stable	Ascending
mxv	Metlatónoc Mixtec	10K to 1M	Stable	Emerging
mxw	Namo	Less than 10K	Stable	Still
mxx	Mahou	10K to 1M	Stable	Emerging
mxy	Southeastern Nochixtlán Mixtec	Less than 10K	Endangered	Still
mxz	Masela, Central	Less than 10K	Endangered	Still
mya	Burmese	1M to 1B	Institutional	Vital
myb	Mbay	10K to 1M	Stable	Ascending
myc	Mayeka	10K to 1M	Endangered	Still
mye	Myene	10K to 1M	Stable	Emerging
myf	Mawes Aasse	Less than 10K	Stable	Emerging
myg	Manta	Less than 10K	Endangered	Emerging
myh	Makah	None	Endangered	Emerging
myj	Mangayat	Less than 10K	Endangered	Still
myk	Mamara Sénoufo	1M to 1B	Institutional	Ascending
myl	Moma	10K to 1M	Stable	Emerging
mym	Me’en	10K to 1M	Institutional	Ascending
myo	Anfillo	Less than 10K	Endangered	Still
myp	Pirahã	Less than 10K	Endangered	Emerging
myr	Muniche	None	Endangered	Emerging
mys	Mesmes	None	Endangered	Still
myu	Mundurukú	Less than 10K	Endangered	Emerging
myv	Erzya	10K to 1M	Stable	Ascending
myw	Muyuw	Less than 10K	Stable	Emerging
myx	Masaaba	1M to 1B	Institutional	Ascending
myy	Macuna	Less than 10K	Stable	Emerging
myz	Mandaic, Classical	None	Extinct	Still
mza	Santa María Zacatepec Mixtec	Less than 10K	Stable	Emerging
mzb	Tumzabt	10K to 1M	Stable	Emerging
mzc	Malagasy Sign Language	10K to 1M	Stable	Emerging
mzd	Mulimba	Less than 10K	Endangered	Emerging
mze	Morawa	Less than 10K	Stable	Still
mzh	Pilcomayo Wichí	10K to 1M	Stable	Emerging
mzi	Ixcatlán Mazatec	Less than 10K	Stable	Emerging
mzj	Manya	10K to 1M	Stable	Emerging
mzk	Nigeria Mambila	10K to 1M	Stable	Ascending
mzl	Mazatlán Mixe	10K to 1M	Stable	Emerging
mzm	Mumuye	10K to 1M	Stable	Ascending
mzn	Mazandarani	1M to 1B	Stable	Ascending
mzo	Matipuhy	Less than 10K	Endangered	Still
mzp	Movima	Less than 10K	Endangered	Emerging
mzq	Mori Atas	10K to 1M	Endangered	Emerging
mzr	Marubo	Less than 10K	Stable	Emerging
mzs	Macanese	None	Endangered	Ascending
mzt	Mintil	Less than 10K	Endangered	Still
mzu	Inapang	Less than 10K	Stable	Still
mzv	Mandja	10K to 1M	Stable	Emerging
mzw	Deg	10K to 1M	Stable	Ascending
mzx	Mawayana	None	Endangered	Still
mzy	Mozambican Sign Language	10K to 1M	Stable	Emerging
mzz	Maiadomu	Less than 10K	Stable	Emerging
naa	Namla	None	Endangered	Still
nab	Nambikuára, Southern	Less than 10K	Stable	Emerging
nac	Narak	Less than 10K	Stable	Emerging
nae	Naka’ela	None	Extinct	Still
naf	Nabak	10K to 1M	Stable	Emerging
nag	Nagamese	10K to 1M	Institutional	Ascending
naj	Nalu	10K to 1M	Stable	Still
nak	Nakanai	10K to 1M	Stable	Emerging
nal	Nalik	Less than 10K	Endangered	Still
nam	Ngan’gityemerri	Less than 10K	Endangered	Emerging
nan	Min Nan Chinese	1M to 1B	Institutional	Ascending
nao	Naaba	Less than 10K	Stable	Emerging
nap	Napoletano	1M to 1B	Stable	Ascending
naq	Khoekhoe	10K to 1M	Institutional	Ascending
nar	Iguta	10K to 1M	Endangered	Still
nas	Naasioi	10K to 1M	Stable	Ascending
nat	Cahungwarya	10K to 1M	Stable	Emerging
nau	Nauruan	10K to 1M	Institutional	Ascending
nav	Navajo	10K to 1M	Endangered	Ascending
naw	Nawuri	10K to 1M	Stable	Emerging
nax	Nakwi	Less than 10K	Endangered	Still
nay	Ngarrindjeri	None	Endangered	Still
naz	Nahuatl, Coatepec	Less than 10K	Endangered	Emerging
nba	Nyemba	1M to 1B	Stable	Ascending
nbb	Ndoe	Less than 10K	Endangered	Still
nbc	Chang Naga	10K to 1M	Stable	Emerging
nbd	Ngbinda	Less than 10K	Endangered	Still
nbe	Konyak Naga	10K to 1M	Stable	Emerging
nbg	Nagarchal	None	Extinct	Still
nbh	Ngamo	10K to 1M	Stable	Still
nbi	Mao Naga	10K to 1M	Stable	Emerging
nbj	Ngarinyman	None	Endangered	Emerging
nbk	Nake	Less than 10K	Endangered	Still
nbl	Ndebele	1M to 1B	Institutional	Vital
nbm	Ngbaka Ma’bo	10K to 1M	Stable	Still
nbn	Kuri	Less than 10K	Endangered	Still
nbo	Nkukoli	10K to 1M	Endangered	Still
nbp	Nnam	Less than 10K	Stable	Still
nbq	Nggem	Less than 10K	Stable	Emerging
nbr	Numana	10K to 1M	Stable	Still
nbs	Namibian Sign Language	Less than 10K	Stable	Emerging
nbt	Na	Less than 10K	Endangered	Still
nbu	Rongmei Naga	10K to 1M	Institutional	Ascending
nbv	Moghamo	10K to 1M	Endangered	Emerging
nbw	Southern Ngbandi	10K to 1M	Stable	Still
nby	Ningera	Less than 10K	Endangered	Still
nca	Iyo	Less than 10K	Stable	Emerging
ncb	Central Nicobarese	10K to 1M	Stable	Emerging
ncc	Ponam	Less than 10K	Stable	Still
ncd	Nachiring	10K to 1M	Endangered	Still
nce	Yale	Less than 10K	Stable	Emerging
ncf	Notsi	Less than 10K	Stable	Emerging
ncg	Nisga’a	Less than 10K	Endangered	Emerging
nch	Central Huasteca Nahuatl	10K to 1M	Stable	Ascending
ncj	Northern Puebla Nahuatl	10K to 1M	Stable	Ascending
nck	Na-kara	None	Endangered	Still
ncl	Michoacán Nahuatl	Less than 10K	Endangered	Ascending
ncm	Nambo	Less than 10K	Stable	Still
ncn	Neherneh	Less than 10K	Endangered	Still
nco	Sibe	10K to 1M	Stable	Emerging
ncq	Northern Katang	10K to 1M	Stable	Emerging
ncr	Nchane	10K to 1M	Stable	Ascending
ncs	Nicaraguan Sign Language	Less than 10K	Stable	Emerging
nct	Naga, Chothe	Less than 10K	Stable	Emerging
ncu	Chumburung	10K to 1M	Stable	Ascending
ncx	Nahuatl, Central Puebla	10K to 1M	Endangered	Emerging
ncz	Natchez	None	Endangered	Emerging
nda	Ndasa	Less than 10K	Stable	Still
ndb	Kenswei Nsei	10K to 1M	Stable	Emerging
ndc	Ndau	1M to 1B	Stable	Ascending
ndd	Nde-Nsele-Nta	10K to 1M	Stable	Emerging
nde	Ndebele	1M to 1B	Institutional	Ascending
ndg	Ndengereko	10K to 1M	Endangered	Emerging
ndh	Ndali	10K to 1M	Stable	Ascending
ndi	Samba Leko	10K to 1M	Stable	Emerging
ndj	Ndamba	10K to 1M	Endangered	Emerging
ndk	Ndaka	10K to 1M	Stable	Emerging
ndl	Ndolo	Less than 10K	Stable	Still
ndm	Ndam	Less than 10K	Stable	Emerging
ndn	Ngundi	Less than 10K	Endangered	Still
ndo	Ndonga	10K to 1M	Institutional	Ascending
ndp	Kebu	10K to 1M	Stable	Emerging
ndq	Ndombe	10K to 1M	Stable	Still
ndr	Ndoola	10K to 1M	Stable	Emerging
nds	Low Saxon	1M to 1B	Institutional	Ascending
ndt	Ndunga	Less than 10K	Endangered	Still
ndu	Dugun	Less than 10K	Stable	Emerging
ndv	Ndut	10K to 1M	Stable	Ascending
ndw	Ndobo	10K to 1M	Stable	Still
ndx	Nduga	10K to 1M	Endangered	Emerging
ndy	Luto	10K to 1M	Stable	Emerging
ndz	Ndogo	10K to 1M	Stable	Emerging
nea	Ngad’a, Eastern	Less than 10K	Stable	Still
neb	Toura	10K to 1M	Stable	Emerging
nec	Nedebang	Less than 10K	Endangered	Still
ned	Nde-Gbite	None	Stable	Still
nee	Nêlêmwa-Nixumwak	Less than 10K	Endangered	Still
nef	Nefamese	None	Endangered	Emerging
neg	Negidal	None	Endangered	Emerging
neh	Nyenkha	10K to 1M	Endangered	Still
nej	Neko	Less than 10K	Stable	Still
nek	Neku	Less than 10K	Endangered	Still
nem	Nemi	Less than 10K	Endangered	Still
nen	Nengone	Less than 10K	Stable	Emerging
neo	Ná-Meo	Less than 10K	Stable	Still
neq	North Central Mixe	10K to 1M	Stable	Emerging
ner	Yahadian	Less than 10K	Endangered	Still
nes	Kinnauri, Bhoti	Less than 10K	Endangered	Still
net	Nete	Less than 10K	Stable	Still
nev	Nyaheun	Less than 10K	Stable	Still
new	Newar	10K to 1M	Institutional	Ascending
nex	Neme	Less than 10K	Stable	Emerging
ney	Neyo	Less than 10K	Stable	Emerging
nez	Nez Perce	Less than 10K	Endangered	Emerging
nfa	Dhao	Less than 10K	Stable	Emerging
nfd	Ahwai	10K to 1M	Stable	Still
nfl	Äiwoo	10K to 1M	Stable	Emerging
nfr	Nafaanra	10K to 1M	Stable	Emerging
nfu	Mfumte	10K to 1M	Stable	Emerging
nga	Ngbaka	1M to 1B	Stable	Ascending
ngb	Northern Ngbandi	10K to 1M	Stable	Ascending
ngc	Ngombe	1M to 1B	Stable	Emerging
ngd	Ngando	Less than 10K	Stable	Still
nge	Ngemba	10K to 1M	Stable	Ascending
ngg	Ngbaka Manza	10K to 1M	Stable	Still
ngh	Nǁng	None	Endangered	Emerging
ngi	Ngizim	10K to 1M	Endangered	Emerging
ngj	Ngie	10K to 1M	Stable	Emerging
ngk	Dalabon	None	Endangered	Still
ngl	Lomwe	1M to 1B	Stable	Ascending
ngm	Ngatik Men’s Creole	None	Endangered	Emerging
ngn	Ngwo	10K to 1M	Stable	Ascending
ngp	Ngulu	10K to 1M	Stable	Emerging
ngq	Ngoreme	10K to 1M	Stable	Emerging
ngr	Engdewu	Less than 10K	Endangered	Emerging
ngs	Gvoko	10K to 1M	Stable	Emerging
ngt	Kriang	10K to 1M	Stable	Emerging
ngu	Guerrero Nahuatl	10K to 1M	Stable	Ascending
ngv	Nagumi	None	Extinct	Emerging
ngw	Ngwaba	10K to 1M	Endangered	Still
ngx	Nggwahyi	Less than 10K	Endangered	Still
ngy	Tibea	Less than 10K	Endangered	Emerging
ngz	Ngungwel	10K to 1M	Stable	Still
nha	Nhanda	None	Endangered	Still
nhb	Beng	10K to 1M	Stable	Emerging
nhc	Nahuatl, Tabasco	None	Endangered	Emerging
nhd	Ava Guaraní	10K to 1M	Endangered	Emerging
nhe	Eastern Huasteca Nahuatl	10K to 1M	Stable	Ascending
nhf	Nhuwala	None	Endangered	Still
nhg	Tetelcingo Nahuatl	Less than 10K	Endangered	Ascending
nhh	Nahari	10K to 1M	Stable	Still
nhi	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	10K to 1M	Stable	Ascending
nhk	Nahuatl, Isthmus-Cosoleacaque	Less than 10K	Endangered	Emerging
nhm	Morelos Nahuatl	10K to 1M	Stable	Ascending
nhn	Nahuatl, Central	10K to 1M	Endangered	Ascending
nho	Takuu	Less than 10K	Stable	Emerging
nhp	Nahuatl, Isthmus-Pajapan	Less than 10K	Endangered	Emerging
nhq	Nahuatl, Huaxcaleca	Less than 10K	Endangered	Emerging
nhr	Naro	10K to 1M	Institutional	Ascending
nht	Nahuatl, Ometepec	Less than 10K	Endangered	Emerging
nhu	Noone	10K to 1M	Stable	Ascending
nhv	Nahuatl, Temascaltepec	Less than 10K	Endangered	Emerging
nhw	Western Huasteca Nahuatl	10K to 1M	Stable	Ascending
nhx	Isthmus-Mecayapan Nahuatl	10K to 1M	Stable	Ascending
nhy	Northern Oaxaca Nahuatl	Less than 10K	Stable	Ascending
nhz	Nahuatl, Santa María la Alta	Less than 10K	Endangered	Emerging
nia	Nias	10K to 1M	Stable	Ascending
nib	Nakame	Less than 10K	Endangered	Still
nid	Ngandi	None	Endangered	Still
nie	Niellim	Less than 10K	Stable	Emerging
nif	Nek	Less than 10K	Stable	Emerging
nig	Ngalakgan	None	Extinct	Still
nih	Tanzania Nyiha	10K to 1M	Stable	Ascending
nii	Nii	10K to 1M	Stable	Emerging
nij	Ngaju	10K to 1M	Institutional	Ascending
nik	Nicobarese, Southern	Less than 10K	Endangered	Still
nil	Nila	None	Extinct	Still
nim	Nilamba	10K to 1M	Stable	Emerging
nin	Ninzo	10K to 1M	Stable	Ascending
nio	Nganasan	None	Endangered	Emerging
niq	Nandi	10K to 1M	Stable	Ascending
nir	Nimboran	Less than 10K	Endangered	Still
nis	Sama	Less than 10K	Stable	Still
nit	Kolami, Southeastern	10K to 1M	Endangered	Emerging
niu	Niue	Less than 10K	Institutional	Ascending
niv	Gilyak	Less than 10K	Endangered	Ascending
niw	Nimo	Less than 10K	Endangered	Still
nix	Hema	10K to 1M	Stable	Emerging
niy	Ngiti	10K to 1M	Stable	Ascending
niz	Ningil	Less than 10K	Stable	Emerging
nja	Nzanyi	10K to 1M	Stable	Emerging
njb	Naga, Nocte	10K to 1M	Stable	Emerging
njd	Ndonde Hamba	Less than 10K	Endangered	Emerging
njh	Lotha Naga	10K to 1M	Institutional	Emerging
nji	Gudanji	None	Extinct	Still
njj	Njen	Less than 10K	Stable	Emerging
njl	Njalgulgule	Less than 10K	Endangered	Still
njm	Angami Naga	10K to 1M	Institutional	Ascending
njn	Liangmai Naga	10K to 1M	Institutional	Emerging
njo	Ao Naga	10K to 1M	Stable	Ascending
njr	Njerep	None	Endangered	Emerging
njs	Nisa	Less than 10K	Endangered	Still
njt	Ndyuka-Trio Pidgin	None	Endangered	Emerging
nju	Ngadjunmaya	None	Endangered	Still
njx	Kunyi	10K to 1M	Stable	Still
njy	Njyem	Less than 10K	Stable	Emerging
njz	Nyishi	10K to 1M	Stable	Ascending
nka	Nkoya	10K to 1M	Stable	Emerging
nkb	Naga, Khoibu	10K to 1M	Stable	Still
nkc	Nkongho	Less than 10K	Endangered	Emerging
nkd	Koireng	Less than 10K	Stable	Still
nke	Dughore	Less than 10K	Stable	Emerging
nkf	Inpui Naga	10K to 1M	Stable	Still
nkg	Nekgini	Less than 10K	Endangered	Emerging
nkh	Khezha Naga	10K to 1M	Stable	Still
nki	Thangal Naga	10K to 1M	Stable	Emerging
nkj	Nakai	Less than 10K	Endangered	Still
nkk	Tanokuku	Less than 10K	Stable	Still
nkm	Namat	Less than 10K	Stable	Still
nkn	Nkangala	10K to 1M	Stable	Still
nko	Nkonya	10K to 1M	Stable	Ascending
nkp	Niuatoputapu	None	Extinct	Emerging
nkq	Nkami	Less than 10K	Stable	Still
nkr	Nukuoro	Less than 10K	Stable	Ascending
nks	Asmat, North	Less than 10K	Stable	Still
nkt	Nyika, Tanzania	10K to 1M	Stable	Emerging
nku	Bouna Kulango	10K to 1M	Stable	Emerging
nkv	Nyika	10K to 1M	Stable	Still
nkw	Nkutu	10K to 1M	Stable	Still
nkx	Nkoroo	Less than 10K	Stable	Emerging
nkz	Nkari	Less than 10K	Stable	Still
nla	Ngombale	10K to 1M	Stable	Ascending
nlc	Nalca	10K to 1M	Stable	Emerging
nld	Dutch	1M to 1B	Institutional	Thriving
nle	Nyala	10K to 1M	Stable	Emerging
nlg	Gela	10K to 1M	Stable	Emerging
nli	Grangali	Less than 10K	Endangered	Still
nlj	Nyali	10K to 1M	Stable	Emerging
nlk	Yali, Ninia	10K to 1M	Stable	Emerging
nll	Nihali	Less than 10K	Endangered	Emerging
nlm	Mankiyali	Less than 10K	Endangered	Still
nlo	Ngwii	Less than 10K	Stable	Still
nlq	Naga, Lao	Less than 10K	Endangered	Still
nlu	Nchumbulu	Less than 10K	Endangered	Still
nlv	Orizaba Nahuatl	10K to 1M	Stable	Ascending
nlw	Walangama	None	Extinct	Still
nlx	Nahali	10K to 1M	Endangered	Emerging
nly	Nyamal	None	Endangered	Still
nlz	Nalögo	Less than 10K	Stable	Still
nma	Maram Naga	10K to 1M	Institutional	Emerging
nmb	V’ënen Taut	Less than 10K	Stable	Emerging
nmc	Ngam	10K to 1M	Stable	Emerging
nmd	Ndumu	Less than 10K	Endangered	Still
nme	Naga, Mzieme	10K to 1M	Stable	Still
nmf	Tangkhul Naga	10K to 1M	Stable	Ascending
nmg	Kwasio	10K to 1M	Stable	Ascending
nmh	Monsang Naga	Less than 10K	Stable	Emerging
nmi	Nyam	None	Endangered	Still
nmj	Ngombe	10K to 1M	Stable	Still
nmk	Namakura	Less than 10K	Stable	Emerging
nml	Ndemli	10K to 1M	Stable	Emerging
nmm	Nyeshangte	10K to 1M	Endangered	Still
nmn	Taa	Less than 10K	Endangered	Still
nmo	Moyon Naga	Less than 10K	Stable	Emerging
nmp	Nimanbur	None	Extinct	Still
nmq	Nambya	10K to 1M	Stable	Emerging
nmr	Nimbari	None	Endangered	Emerging
nms	Letemboi	Less than 10K	Endangered	Still
nmt	Namonuito	Less than 10K	Stable	Still
nmu	Maidu, Northeast	None	Endangered	Still
nmv	Ngamini	None	Extinct	Still
nmw	Rifao	Less than 10K	Stable	Emerging
nmx	Nama	Less than 10K	Stable	Emerging
nmy	Namuyi	Less than 10K	Stable	Still
nmz	Nawdm	10K to 1M	Stable	Emerging
nna	Nyangumarta	Less than 10K	Endangered	Still
nnb	Nande	1M to 1B	Stable	Ascending
nnc	Nancere	10K to 1M	Stable	Emerging
nnd	West Ambae	Less than 10K	Stable	Emerging
nne	Ngandjera	10K to 1M	Stable	Still
nnf	Ngaing	Less than 10K	Stable	Emerging
nng	Maring Naga	10K to 1M	Stable	Emerging
nnh	Ngiemboon	10K to 1M	Stable	Ascending
nni	Nuaulu, North	None	Endangered	Still
nnj	Nyangatom	10K to 1M	Stable	Emerging
nnk	Nankina	Less than 10K	Stable	Emerging
nnl	Northern Rengma Naga	10K to 1M	Stable	Emerging
nnm	Namia	Less than 10K	Stable	Emerging
nnn	Ngete	10K to 1M	Stable	Emerging
nnp	Wancho Naga	10K to 1M	Stable	Ascending
nnq	Ngindo	10K to 1M	Stable	Emerging
nnr	Narungga		Endangered	Still
nnt	Nanticoke	None	Endangered	Still
nnu	Dwang	Less than 10K	Stable	Still
nnv	Nugunu	None	Extinct	Still
nnw	Southern Nuni	10K to 1M	Stable	Ascending
nny	Nyangga	None	Extinct	Still
nnz	Nda’nda’	10K to 1M	Stable	Emerging
noa	Woun Meu	10K to 1M	Stable	Emerging
noc	Nuk	Less than 10K	Endangered	Still
nod	Northern Thai	1M to 1B	Institutional	Ascending
noe	Nimadi	1M to 1B	Stable	Ascending
nof	Nomane	Less than 10K	Stable	Still
nog	Nogai	10K to 1M	Endangered	Ascending
noh	Nomu	Less than 10K	Endangered	Still
noi	Noiri	10K to 1M	Stable	Emerging
noj	Nonuya	None	Endangered	Still
nok	Nooksack	None	Endangered	Emerging
nol	Nomlaki	None	Endangered	Still
nop	Numanggang	Less than 10K	Stable	Ascending
noq	Ngongo	Less than 10K	Endangered	Still
nor	Norwegian	1M to 1B	Institutional	Thriving
nos	Nisu, Eastern	10K to 1M	Endangered	Still
not	Nomatsigenga	Less than 10K	Stable	Ascending
nou	Ewage-Notu	10K to 1M	Stable	Emerging
now	Nyambo	10K to 1M	Stable	Emerging
noy	Noy	None	Endangered	Emerging
noz	Nayi	Less than 10K	Endangered	Still
npa	Nar Phu	Less than 10K	Stable	Still
npb	Nupbikha	Less than 10K	Stable	Still
npg	Ponyo-Gongwang Naga	10K to 1M	Stable	Still
nph	Phom Naga	10K to 1M	Stable	Emerging
npi	Nepali	1M to 1B	Institutional	Vital
npl	Nahuatl, Southeastern Puebla	10K to 1M	Stable	Ascending
npn	Mondropolon	Less than 10K	Stable	Still
npo	Pochuri Naga	10K to 1M	Stable	Emerging
nps	Nipsan	Less than 10K	Endangered	Still
npu	Naga, Puimei	Less than 10K	Stable	Still
npx	Noipä	None	Stable	Still
npy	Napu	Less than 10K	Endangered	Emerging
nqg	Nago, Southern	10K to 1M	Stable	Still
nqk	Ede Nago, Kura	10K to 1M	Stable	Still
nql	Ngendelengo	Less than 10K	Stable	Still
nqm	Ndom	Less than 10K	Endangered	Still
nqn	Nen	Less than 10K	Stable	Still
nqo	N’Ko	None	Endangered	Ascending
nqq	Naga, Chen-Kayu	10K to 1M	Stable	Still
nqt	Nteng	Less than 10K	Stable	Still
nqy	Naga, Akyaung Ari	Less than 10K	Stable	Still
nra	Ngom	10K to 1M	Stable	Still
nrb	Nara	10K to 1M	Endangered	Emerging
nre	Southern Rengma Naga	10K to 1M	Stable	Emerging
nrf	Guernésiais	10K to 1M	Endangered	Ascending
nrg	Varsaf	Less than 10K	Stable	Still
nri	Naga, Chokri	10K to 1M	Stable	Emerging
nrk	Ngarla	None	Endangered	Still
nrl	Ngarluma	None	Endangered	Still
nrm	Narom	None	Endangered	Emerging
nrn	Norn	None	Endangered	Emerging
nrr	Nora	None	Extinct	Still
nrt	Northern Kalapuya	None	Extinct	Still
nru	Narua	10K to 1M	Stable	Still
nrx	Ngurmbur	None	Extinct	Still
nrz	Lala	Less than 10K	Stable	Still
nsa	Sangtam Naga	10K to 1M	Stable	Emerging
nsb	Lower Nossob	None	Extinct	Still
nsd	Nisu, Southern	10K to 1M	Endangered	Still
nse	Nsenga	10K to 1M	Stable	Emerging
nsf	Nisu, Northwestern	10K to 1M	Stable	Still
nsg	Ngasa	None	Extinct	Still
nsh	Ngoshie	Less than 10K	Stable	Emerging
nsi	Nigerian Sign Language	10K to 1M	Stable	Emerging
nsk	Naskapi	Less than 10K	Institutional	Ascending
nsl	Norwegian Sign Language	Less than 10K	Stable	Emerging
nsm	Sumi Naga	10K to 1M	Stable	Emerging
nsn	Nehan	Less than 10K	Stable	Emerging
nso	Northern Sotho	1M to 1B	Institutional	Vital
nsp	Nepalese Sign Language	10K to 1M	Stable	Emerging
nsq	Miwok, Northern Sierra	None	Endangered	Emerging
nsr	Maritime Sign Language		Endangered	Still
nss	Nali	Less than 10K	Stable	Emerging
nst	Tangshang Naga	10K to 1M	Stable	Ascending
nsu	Sierra Negra Nahuatl	10K to 1M	Stable	Ascending
nsv	Nisu, Southwestern	10K to 1M	Endangered	Still
nsw	Balen	Less than 10K	Stable	Still
nsx	Songo	10K to 1M	Stable	Still
nsy	Nasal	Less than 10K	Endangered	Still
nsz	Nisenan	None	Endangered	Emerging
ntd	Tidung, Northern	Less than 10K	Endangered	Still
ntg	Ngantangarra	None	Extinct	Still
nti	Natioro	Less than 10K	Stable	Still
ntj	Ngaanyatjarra	Less than 10K	Stable	Emerging
ntk	Ikoma-Nata-Isenye	10K to 1M	Endangered	Emerging
ntm	Nateni	10K to 1M	Stable	Ascending
nto	Ntomba	10K to 1M	Stable	Still
ntp	Northern Tepehuan	10K to 1M	Stable	Ascending
ntr	Delo	10K to 1M	Stable	Emerging
ntu	Natügu	Less than 10K	Stable	Ascending
ntw	Nottoway	None	Endangered	Still
ntx	Tangkhul Naga	Less than 10K	Stable	Emerging
nty	Mantsi	Less than 10K	Endangered	Still
ntz	Natanzi	Less than 10K	Endangered	Still
nua	Yuanga	Less than 10K	Endangered	Emerging
nuc	Nukuini	None	Endangered	Still
nud	Gala	Less than 10K	Endangered	Still
nue	Ngundu	None	Stable	Emerging
nuf	Nusu	10K to 1M	Stable	Emerging
nug	Nungali	None	Extinct	Still
nuh	Ndunda	Less than 10K	Stable	Still
nui	Kombe	Less than 10K	Stable	Emerging
nuj	Nyole	10K to 1M	Stable	Ascending
nuk	Nuu-chah-nulth	Less than 10K	Endangered	Emerging
nul	Nusa Laut	None	Endangered	Still
num	Niuafo’ou	Less than 10K	Endangered	Emerging
nun	Anong	Less than 10K	Endangered	Still
nuo	Nguôn	Less than 10K	Stable	Still
nup	Nupe-Nupe-Tako	1M to 1B	Institutional	Ascending
nuq	Nukumanu	Less than 10K	Stable	Ascending
nur	Nukeria	Less than 10K	Stable	Emerging
nus	Nuer	1M to 1B	Institutional	Ascending
nut	Nung	1M to 1B	Stable	Ascending
nuu	Ngbundu	10K to 1M	Stable	Emerging
nuv	Nuni, Northern	10K to 1M	Stable	Emerging
nuw	Nguluwan	None	Endangered	Still
